,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
12678,214,149,117.333,3.61499,2,19,5,1,v.light purple
12679,90,79,57.333,3.25261,0,0,0,2,light purple
12680,117,78,62.667,4.50102,3,11,1,2,light purple
12681,217,144,31.333,2.69044,1,1,0,1,v.light purple
12682,122,85,13.333,4.5324,0,1,0,2,light purple
12683,128,62,110.0,3.53703,0,2,3,5,v.dark purple
12684,130,49,79.333,3.79873,0,1,0,2,light purple
12685,49,27,22.667,5.53806,0,0,0,0,pink
12686,104,45,102.667,3.41177,0,1,0,5,v.dark purple
12687,160,64,21.333,3.20993,0,2,0,2,light purple
12688,64,59,121.167,4.87764,2,1,0,5,v.dark purple
12689,51,30,82.5,5.07328,1,2,0,0,pink
12690,54,39,33.333,5.60729,1,1,0,0,pink
12691,160,122,71.333,5.42438,0,0,0,1,v.light purple
12692,40,40,26.0,5.34385,0,0,0,0,pink
12693,180,128,28.0,4.26203,0,2,0,1,v.light purple
12694,63,39,101.333,3.80479,0,0,0,0,pink
12695,120,78,154.0,3.034,1,3,5,5,v.dark purple
12696,150,94,36.0,3.27124,0,0,0,2,light purple
12697,81,61,53.333,3.31587,0,1,0,0,pink
12698,132,75,52.0,2.99586,0,2,0,2,light purple
12699,57,38,467.833,4.04346,0,3,0,3,purple
12700,157,123,137.5,3.28179,1,3,2,5,v.dark purple
12701,120,68,53.333,4.26505,2,0,1,2,light purple
12702,66,66,103.833,5.36028,0,2,0,0,pink
12703,35,35,292.167,3.74544,1,8,1,5,v.dark purple
12704,38,38,58.667,3.85643,0,0,0,0,pink
12705,41,29,4.0,5.60602,0,0,0,0,pink
12706,60,56,13.333,5.04027,0,0,0,0,pink
12707,145,81,174.333,3.72883,3,9,2,5,v.dark purple
12708,106,83,72.667,3.47127,0,0,0,2,light purple
12709,111,85,17.333,3.43748,0,2,0,2,light purple
12710,82,82,132.667,2.92809,1,3,2,5,v.dark purple
12711,120,94,77.333,3.55863,0,0,0,2,light purple
12712,150,126,40.0,3.09297,0,1,0,2,light purple
12713,118,78,13.333,3.35873,0,0,0,2,light purple
12714,98,85,129.0,3.41931,5,4,1,5,v.dark purple
12715,72,44,33.333,3.06718,0,0,0,0,pink
12716,116,54,49.333,3.12533,1,2,1,2,light purple
12717,93,50,70.667,6.40415,0,2,1,0,pink
12718,106,75,5.333,3.38995,1,0,1,2,light purple
12719,181,127,77.333,3.50904,4,1,2,1,v.light purple
12720,59,45,62.667,4.29242,2,0,0,0,pink
12721,120,81,101.333,3.62081,0,17,0,2,light purple
12722,120,62,2.667,3.66339,0,0,0,2,light purple
12723,18,12,7.333,5.54143,0,0,0,0,pink
12724,107,74,157.833,2.94603,0,18,1,5,v.dark purple
12725,101,118,72.167,3.31677,1,5,2,2,light purple
12726,100,60,36.833,3.68414,0,0,0,2,light purple
12727,53,53,60.667,3.7228,2,0,0,0,pink
12728,98,68,37.333,3.76392,0,4,1,2,light purple
12729,95,68,16.0,5.68878,2,0,1,2,light purple
12730,104,59,35.333,3.4188,0,0,0,2,light purple
12731,120,60,38.0,3.61929,0,0,0,2,light purple
12732,72,70,13.333,3.8876,1,0,1,0,pink
12733,40,32,30.667,5.49626,0,5,1,0,pink
