,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
8753,139,82,23.333,4.05436,0,9,0,2,light purple
8754,82,77,24.5,4.19006,3,0,0,2,light purple
8755,26,26,1.333,3.86069,0,0,0,0,pink
8756,36,29,3.333,3.50343,0,0,0,0,pink
8757,30,24,8.0,5.62386,0,0,0,0,pink
8758,96,92,14.0,4.06283,0,0,0,2,light purple
8759,120,110,11.333,3.41121,0,1,0,2,light purple
8760,139,120,13.333,4.37468,0,0,0,2,light purple
8761,34,27,10.0,3.40277,2,0,0,0,pink
8762,120,102,89.333,3.56817,0,3,2,2,light purple
8763,40,37,8.0,6.81738,0,0,0,0,pink
8764,149,130,107.667,3.3946,1,7,0,1,v.light purple
8765,86,58,12.667,4.49063,0,0,0,0,pink
8766,120,109,18.0,3.54891,0,6,0,2,light purple
8767,174,111,8.667,4.64119,1,4,0,1,v.light purple
8768,120,86,4.667,5.70264,0,3,0,2,light purple
8769,106,79,133.0,3.21929,0,12,0,5,v.dark purple
8770,176,152,5.333,3.56111,0,0,0,1,v.light purple
8771,20,16,9.333,5.99462,1,2,1,0,pink
8772,120,103,34.0,3.11524,0,1,0,2,light purple
8773,200,178,37.333,4.01606,0,2,0,1,v.light purple
8774,110,91,20.667,4.66855,0,1,0,2,light purple
8775,218,203,63.333,3.12319,0,4,0,1,v.light purple
8776,140,116,183.0,3.23227,1,3,0,5,v.dark purple
8777,127,124,28.667,3.01735,0,1,0,2,light purple
8778,115,109,20.0,3.37211,0,2,0,2,light purple
8779,70,58,20.667,4.62138,0,1,0,0,pink
8780,60,58,11.333,3.89743,0,1,1,0,pink
8781,128,124,25.167,3.09498,0,0,1,2,light purple
8782,102,99,18.667,3.00786,1,2,0,2,light purple
8783,130,117,11.333,3.51575,0,2,0,2,light purple
8784,126,110,29.833,4.71674,0,11,1,2,light purple
8785,73,54,13.333,5.63554,0,1,0,0,pink
8786,120,107,46.667,3.51686,0,0,0,2,light purple
8787,112,94,26.0,3.73505,0,1,0,2,light purple
8788,110,99,16.0,5.00307,0,0,0,2,light purple
8789,60,56,12.667,3.36159,0,2,0,0,pink
8790,35,35,11.333,6.24386,0,1,0,0,pink
8791,120,93,30.0,3.57506,1,14,0,2,light purple
8792,124,118,7.333,4.0391,0,0,0,2,light purple
8793,108,100,5.333,4.47471,0,1,0,2,light purple
8794,120,119,14.667,3.89809,0,0,0,2,light purple
8795,77,65,34.667,4.44852,3,4,0,0,pink
8796,100,88,34.667,2.83472,0,8,0,2,light purple
8797,123,97,6.0,3.68364,0,4,0,2,light purple
8798,298,279,26.667,3.98251,0,2,0,4,dark purple
8799,130,112,57.333,3.57631,0,0,0,2,light purple
8800,100,94,31.333,2.62859,2,0,0,2,light purple
8801,82,76,90.0,2.40815,0,0,0,2,light purple
8802,58,58,64.0,4.13508,1,1,0,0,pink
8803,85,62,34.0,4.04087,0,0,0,0,pink
8804,362,338,6.667,3.66359,2,3,0,4,dark purple
8805,119,117,2.0,2.79669,0,0,0,2,light purple
8806,513,465,215.333,3.30471,2,26,0,4,dark purple
8807,15,5,13.333,5.32858,0,0,0,0,pink
8808,360,334,13.333,3.29695,0,1,0,4,dark purple
8809,100,91,16.667,3.28633,0,5,0,2,light purple
8810,120,114,0.0,2.52818,0,0,0,2,light purple
8811,356,314,197.833,4.09749,6,3,0,4,dark purple
8812,77,75,118.667,3.2782,0,2,0,5,v.dark purple
8813,70,58,2.0,3.6806,0,0,0,0,pink
8814,160,141,56.0,3.4569,0,1,0,1,v.light purple
8815,148,145,92.833,3.958,0,2,1,1,v.light purple
8816,235,222,13.333,2.4171,0,1,0,1,v.light purple
8817,62,56,14.0,3.7288,0,1,0,0,pink
8818,1389,159,11.333,4.74332,0,1,0,4,dark purple
8819,182,178,4.667,3.36126,0,0,0,1,v.light purple
8820,167,150,10.0,3.25274,0,0,0,1,v.light purple
8821,160,127,698.667,3.4886,4,13,1,3,purple
8822,87,84,8.0,3.67364,0,0,0,2,light purple
8823,148,132,9.333,3.01953,1,0,0,2,light purple
8824,230,207,10.667,3.72436,0,0,0,1,v.light purple
8825,202,176,18.667,3.33177,0,1,0,1,v.light purple
8826,120,114,13.333,3.30375,0,0,0,2,light purple
8827,160,68,20.0,8.21739,1,1,0,2,light purple
8828,182,150,21.333,4.62891,0,2,0,1,v.light purple
8829,20,14,227.333,5.35798,0,2,0,5,v.dark purple
8830,105,102,26.0,3.09772,4,5,0,2,light purple
8831,455,425,107.0,5.24614,2,12,0,4,dark purple
8832,152,144,24.667,4.12586,2,0,0,1,v.light purple
8833,90,68,0.0,3.49108,0,0,0,2,light purple
8834,160,132,77.833,4.45612,6,0,0,1,v.light purple
8835,102,74,29.333,3.38976,0,0,0,2,light purple
8836,101,91,78.667,3.14179,0,0,0,2,light purple
8837,120,120,14.0,3.1763,0,1,0,2,light purple
8838,264,245,11.333,2.81053,2,0,0,1,v.light purple
8839,300,260,19.333,3.09087,0,3,0,4,dark purple
8840,34,31,1.333,2.92935,0,0,0,0,pink
8841,180,115,72.0,4.01537,1,3,0,1,v.light purple
8842,47,46,3.333,5.29661,0,0,0,0,pink
8843,284,274,58.667,4.29917,7,2,0,4,dark purple
8844,240,234,14.0,3.6734,1,3,0,1,v.light purple
8845,92,83,58.667,3.59079,1,0,0,2,light purple
8846,240,229,26.667,2.78175,0,0,0,1,v.light purple
8847,240,202,157.333,3.79583,0,2,0,1,v.light purple
8848,55,44,20.0,4.51015,0,0,0,0,pink
8849,142,126,3.333,3.67252,2,1,0,2,light purple
8850,118,107,12.667,3.28142,0,0,0,2,light purple
8851,231,219,25.333,5.37644,0,0,0,1,v.light purple
8852,77,73,0.0,4.18751,0,0,0,0,pink
8853,102,92,283.167,2.82238,4,0,4,5,v.dark purple
8854,278,234,28.667,3.84067,3,0,0,1,v.light purple
8855,520,422,6.667,3.14354,1,1,0,4,dark purple
8856,195,179,24.667,3.85544,0,0,0,1,v.light purple
8857,300,290,68.0,3.53934,0,1,0,4,dark purple
8858,142,133,267.333,2.94244,9,34,0,5,v.dark purple
8859,117,96,90.0,3.37499,2,4,4,2,light purple
8860,120,114,25.333,3.99326,0,0,0,2,light purple
8861,356,309,58.0,3.83773,1,3,0,4,dark purple
8862,80,72,66.0,3.23237,0,0,0,0,pink
8863,82,82,4.667,2.83973,0,0,0,2,light purple
8864,145,128,64.667,4.76047,0,1,1,2,light purple
8865,120,110,289.0,4.44274,2,0,0,5,v.dark purple
8866,589,525,25.333,3.33465,0,0,0,4,dark purple
8867,100,94,10.667,3.63684,0,0,0,2,light purple
8868,80,37,132.0,4.25205,1,1,3,5,v.dark purple
8869,176,160,183.5,4.76275,4,28,0,5,v.dark purple
8870,288,269,46.667,4.07313,0,11,1,4,dark purple
8871,146,144,34.0,3.63879,0,0,0,1,v.light purple
8872,100,94,28.667,3.084,0,0,0,2,light purple
8873,46,43,5.333,4.08387,0,0,0,0,pink
8874,175,149,19.333,3.26032,0,0,0,1,v.light purple
8875,120,100,32.0,3.73669,0,0,0,2,light purple
8876,138,122,154.5,4.29789,1,3,0,5,v.dark purple
8877,200,178,3.333,5.25279,0,0,0,1,v.light purple
8878,158,149,26.667,3.08632,0,2,0,1,v.light purple
8879,169,161,83.667,2.86199,1,2,0,1,v.light purple
8880,30,28,14.667,4.68855,0,1,0,0,pink
8881,192,189,32.0,3.34216,4,0,0,1,v.light purple
8882,132,129,74.0,4.00002,4,0,0,2,light purple
8883,555,524,4.667,3.06001,0,0,0,4,dark purple
8884,55,33,2.667,3.70689,1,0,0,0,pink
8885,37,28,57.333,5.03006,2,2,0,0,pink
8886,67,39,79.667,3.37113,0,0,1,0,pink
8887,181,143,12.0,3.91012,0,2,0,1,v.light purple
8888,200,188,8.667,3.39183,0,0,0,1,v.light purple
8889,80,78,50.667,4.07268,1,0,0,2,light purple
8890,229,216,63.333,3.77549,1,8,0,1,v.light purple
8891,120,114,50.667,3.90207,1,0,0,2,light purple
8892,242,224,32.667,5.54557,0,0,0,1,v.light purple
8893,29,27,20.667,2.26896,0,0,0,0,pink
8894,96,96,8.667,1.55439,0,0,0,2,light purple
8895,198,195,26.667,3.68213,4,4,0,1,v.light purple
8896,362,349,14.667,3.9025,2,1,0,4,dark purple
8897,304,295,10.0,4.69558,0,0,0,4,dark purple
8898,134,113,116.0,3.02481,0,0,1,5,v.dark purple
8899,120,98,226.833,3.69147,5,4,1,5,v.dark purple
8900,362,330,26.0,4.59801,1,1,0,4,dark purple
8901,94,77,58.667,4.07215,0,1,1,2,light purple
8902,88,81,257.5,4.15759,3,1,2,5,v.dark purple
8903,366,358,14.667,3.3782,2,3,0,4,dark purple
8904,120,115,75.333,3.01785,2,7,0,2,light purple
8905,305,291,30.0,3.79972,0,0,0,4,dark purple
8906,180,166,13.333,3.58523,0,1,0,1,v.light purple
8907,144,104,12.667,3.64339,0,0,0,2,light purple
8908,470,445,48.0,4.13335,0,6,0,4,dark purple
8909,120,113,33.333,3.1798,2,5,0,2,light purple
8910,203,135,8.0,3.61983,1,0,0,1,v.light purple
8911,242,235,71.333,3.50827,5,14,0,1,v.light purple
8912,175,170,8.667,2.91096,0,5,0,1,v.light purple
8913,236,211,10.667,3.21888,0,0,0,1,v.light purple
8914,93,90,118.5,3.08686,0,0,1,5,v.dark purple
8915,100,89,7.333,3.2355,0,1,0,2,light purple
8916,320,275,2.0,2.97474,0,0,0,4,dark purple
8917,146,133,31.333,2.96863,1,0,0,2,light purple
8918,80,68,26.667,4.68385,2,7,0,0,pink
8919,135,117,22.0,3.16031,0,0,0,2,light purple
8920,88,75,32.667,3.78123,0,0,0,2,light purple
8921,215,207,11.333,3.59423,0,0,0,1,v.light purple
8922,328,299,10.0,3.40965,0,0,0,4,dark purple
8923,118,84,54.0,2.8924,1,3,1,2,light purple
8924,45,34,32.0,3.41772,0,0,0,0,pink
8925,524,499,1.333,2.83189,1,0,0,4,dark purple
8926,46,41,27.333,3.11947,0,1,0,0,pink
8927,576,503,12.0,3.58046,0,3,0,4,dark purple
8928,499,460,10.0,2.70778,0,0,0,4,dark purple
8929,100,79,454.5,3.15632,2,5,3,3,purple
8930,369,350,124.667,3.17376,1,5,3,4,dark purple
8931,196,175,26.667,3.17023,0,2,0,1,v.light purple
8932,100,94,52.0,3.48418,0,0,0,2,light purple
8933,60,55,41.333,4.52571,0,0,0,0,pink
8934,280,165,16.667,3.4226,0,0,0,1,v.light purple
8935,62,61,49.333,2.77963,3,1,1,0,pink
8936,320,300,104.167,3.55468,1,5,0,4,dark purple
8937,120,92,68.667,2.69684,1,0,1,2,light purple
8938,105,71,14.0,6.5355,1,0,0,2,light purple
8939,188,179,28.667,3.09962,0,0,0,1,v.light purple
8940,176,155,90.667,5.16217,3,0,0,1,v.light purple
8941,122,117,8.667,3.0555,0,0,0,2,light purple
8942,227,224,0.667,2.75536,0,0,0,1,v.light purple
8943,104,101,2.0,4.19061,2,0,0,2,light purple
8944,60,54,27.333,5.25481,0,5,0,0,pink
8945,200,173,32.667,2.36142,2,3,0,1,v.light purple
8946,79,70,1.333,3.90749,0,0,0,0,pink
8947,79,77,0.0,3.28832,0,1,0,0,pink
8948,315,274,10.0,3.17669,0,0,0,4,dark purple
8949,160,155,14.0,3.14609,0,0,0,1,v.light purple
8950,156,67,51.5,3.31994,5,3,1,2,light purple
8951,131,91,244.0,3.5055,0,0,0,5,v.dark purple
8952,320,313,96.833,3.26418,3,6,1,4,dark purple
8953,123,107,19.333,3.05272,0,3,0,2,light purple
8954,210,194,32.0,3.69138,2,3,0,1,v.light purple
8955,62,59,58.667,3.08609,0,12,0,0,pink
8956,100,88,68.0,3.00802,0,7,0,2,light purple
8957,85,83,67.333,4.03234,4,5,0,2,light purple
8958,180,173,22.0,3.66157,0,5,0,1,v.light purple
8959,48,44,13.333,3.20366,0,0,0,0,pink
8960,102,91,10.667,4.00474,0,0,0,2,light purple
8961,182,175,28.0,4.37873,1,1,0,1,v.light purple
8962,135,134,209.333,4.82707,0,3,2,5,v.dark purple
8963,315,292,24.667,3.3317,0,0,0,4,dark purple
8964,120,109,86.0,3.86838,0,8,0,2,light purple
8965,84,83,20.0,4.03393,0,0,0,2,light purple
8966,203,177,18.0,3.54947,0,1,0,1,v.light purple
8967,345,298,56.667,4.28758,5,3,0,4,dark purple
8968,240,217,21.333,4.38011,0,0,0,1,v.light purple
8969,280,246,69.333,3.26854,1,3,0,4,dark purple
8970,60,53,28.0,3.03383,1,5,0,0,pink
8971,300,292,7.333,3.21124,0,0,0,4,dark purple
8972,160,112,19.333,2.82119,0,0,0,2,light purple
8973,196,179,284.667,3.35582,2,0,0,5,v.dark purple
8974,705,691,24.0,3.0589,0,2,0,4,dark purple
8975,400,364,18.0,2.77793,1,1,0,4,dark purple
8976,178,127,21.333,3.66776,0,2,0,1,v.light purple
8977,353,342,181.833,2.98315,1,10,0,4,dark purple
8978,160,146,29.333,4.28612,1,2,0,1,v.light purple
8979,120,117,26.667,3.49427,1,2,0,2,light purple
8980,364,352,9.333,3.16224,3,0,0,4,dark purple
8981,80,76,81.333,2.45781,0,11,0,2,light purple
8982,160,137,460.667,2.96933,2,11,2,3,purple
8983,200,104,1.333,3.99529,0,0,0,1,v.light purple
8984,200,190,29.333,2.80857,1,0,0,1,v.light purple
8985,200,181,18.667,2.84072,0,1,0,1,v.light purple
8986,200,181,24.0,2.87355,2,0,0,1,v.light purple
8987,30,29,76.667,3.90553,0,0,0,0,pink
8988,200,124,1.333,3.41183,0,0,0,1,v.light purple
8989,76,57,77.333,4.09008,6,0,0,0,pink
8990,40,36,64.5,3.44044,1,0,1,0,pink
8991,102,99,22.667,2.75084,0,3,0,2,light purple
8992,118,109,922.667,3.68682,2,11,3,3,purple
8993,583,567,76.0,5.22809,1,10,0,4,dark purple
8994,66,36,42.667,3.87911,0,0,0,0,pink
8995,80,78,31.333,3.40225,2,0,0,2,light purple
8996,52,47,6.667,3.43019,0,0,0,0,pink
8997,262,218,5.333,3.18859,0,3,0,1,v.light purple
8998,100,93,24.667,3.66171,0,0,0,2,light purple
8999,189,165,10.0,3.53094,0,2,0,1,v.light purple
9000,62,58,26.0,3.71797,0,1,0,0,pink
9001,200,185,18.667,4.09876,0,0,0,1,v.light purple
9002,112,66,317.667,5.63204,2,4,2,3,purple
9003,173,152,110.667,3.64447,1,1,0,1,v.light purple
9004,566,540,31.333,3.98695,1,5,0,4,dark purple
9005,136,124,12.667,3.5095,2,1,1,2,light purple
9006,100,93,27.333,3.54363,1,1,0,2,light purple
9007,205,199,8.0,3.48311,2,0,0,1,v.light purple
9008,120,113,212.833,3.4258,3,2,4,5,v.dark purple
9009,102,84,156.0,3.7786,2,1,0,5,v.dark purple
9010,92,82,15.333,4.16839,0,0,0,2,light purple
9011,160,154,139.333,3.37058,3,3,0,5,v.dark purple
9012,80,55,45.667,3.92085,0,0,1,0,pink
9013,120,104,34.0,3.19052,1,1,0,2,light purple
9014,120,115,4.0,3.29558,0,0,0,2,light purple
9015,191,188,13.333,2.92347,2,0,0,1,v.light purple
9016,200,175,14.667,3.07129,0,0,0,1,v.light purple
9017,378,366,18.0,3.37921,0,0,0,4,dark purple
9018,240,229,16.667,3.21171,0,1,0,1,v.light purple
9019,120,102,384.333,3.82493,7,17,0,3,purple
9020,120,119,123.667,3.67703,2,16,0,5,v.dark purple
9021,100,90,12.0,4.36625,0,0,0,2,light purple
9022,320,282,2.0,4.15542,0,0,0,4,dark purple
9023,160,150,12.667,3.27583,0,0,0,1,v.light purple
9024,150,136,8.667,3.34227,0,0,0,1,v.light purple
9025,120,100,36.0,3.87826,0,1,0,2,light purple
9026,164,146,39.333,3.27695,0,0,0,1,v.light purple
9027,84,79,32.0,4.09905,1,2,0,2,light purple
9028,160,155,50.0,3.78468,2,9,0,1,v.light purple
9029,44,43,27.333,3.33623,0,0,0,0,pink
9030,120,118,12.0,3.44314,2,0,0,2,light purple
9031,200,192,218.833,1.90603,0,4,0,5,v.dark purple
9032,114,99,50.667,4.14043,3,3,0,2,light purple
9033,297,242,50.0,4.27664,0,2,0,4,dark purple
9034,82,77,2.0,3.94154,0,0,0,2,light purple
9035,200,180,10.0,3.62719,0,0,0,1,v.light purple
9036,190,179,14.667,3.88137,1,0,0,1,v.light purple
9037,160,135,84.667,3.84037,0,9,0,1,v.light purple
9038,108,104,15.333,4.39227,1,0,0,2,light purple
9039,455,391,172.667,3.3935,4,14,0,4,dark purple
9040,90,74,33.333,3.29021,1,0,0,2,light purple
9041,448,435,1.333,3.40623,0,0,0,4,dark purple
9042,61,51,138.667,4.10108,1,0,0,5,v.dark purple
9043,200,181,24.667,3.28129,0,0,0,1,v.light purple
9044,240,233,8.667,2.865,0,0,0,1,v.light purple
9045,304,297,10.667,3.37,0,0,0,4,dark purple
9046,120,112,38.0,3.34375,0,0,0,2,light purple
9047,240,233,4.0,3.29613,0,0,0,1,v.light purple
9048,117,103,46.0,3.92296,0,1,0,2,light purple
9049,120,120,59.0,3.07493,2,1,0,2,light purple
9050,36,32,14.0,5.03118,1,1,0,0,pink
9051,240,219,2.0,3.59593,0,0,0,1,v.light purple
9052,120,120,109.333,3.62196,0,3,0,5,v.dark purple
9053,160,133,6.667,3.72712,0,0,0,1,v.light purple
9054,520,506,39.333,3.42703,1,5,0,4,dark purple
9055,130,119,29.333,3.4619,1,8,0,2,light purple
9056,122,103,468.167,4.87484,9,9,1,3,purple
9057,120,116,51.333,3.84602,2,0,0,2,light purple
9058,80,68,47.333,4.71431,0,0,0,0,pink
9059,120,106,37.333,3.95302,0,1,0,2,light purple
9060,120,118,11.333,5.18475,1,0,0,2,light purple
9061,120,116,2.667,4.09409,0,0,0,2,light purple
9062,121,105,19.333,4.04365,0,1,0,2,light purple
9063,120,104,118.0,4.8627,1,22,0,5,v.dark purple
9064,288,279,24.667,2.74072,0,2,1,4,dark purple
9065,170,86,63.0,3.40563,0,6,1,2,light purple
9066,140,135,12.667,2.8371,0,0,0,2,light purple
9067,80,63,5.333,3.44102,0,0,0,0,pink
9068,120,111,70.667,2.77256,6,2,0,2,light purple
9069,80,66,74.333,7.65265,6,0,0,0,pink
9070,82,68,22.667,3.97782,1,8,0,0,pink
9071,200,183,24.0,3.10311,0,0,0,1,v.light purple
9072,37,36,121.667,3.04559,0,4,1,0,pink
9073,120,116,32.667,3.56193,1,3,0,2,light purple
9074,120,106,22.667,3.57273,0,1,0,2,light purple
9075,83,62,18.667,3.44437,0,0,0,0,pink
9076,120,106,50.0,3.52552,0,5,0,2,light purple
9077,115,113,21.333,4.17599,0,0,0,2,light purple
9078,184,179,24.667,4.70869,2,3,0,1,v.light purple
9079,60,48,127.167,4.27824,0,4,2,5,v.dark purple
9080,120,111,22.667,3.45501,1,0,0,2,light purple
9081,220,204,114.0,2.16429,3,20,0,1,v.light purple
9082,80,72,47.333,4.18511,1,0,0,0,pink
9083,66,57,9.333,4.05642,0,0,0,0,pink
9084,80,79,25.333,3.57462,0,2,0,2,light purple
9085,120,101,16.667,3.47324,1,0,0,2,light purple
9086,122,101,122.0,3.40735,6,6,0,5,v.dark purple
9087,515,387,47.333,4.28457,0,1,0,4,dark purple
9088,118,109,13.167,3.32091,0,3,1,2,light purple
9089,480,469,33.333,2.83303,0,1,0,4,dark purple
9090,183,183,6.0,2.68886,0,0,0,1,v.light purple
9091,40,29,184.0,4.13042,5,3,1,5,v.dark purple
9092,40,35,21.333,4.54935,0,0,0,0,pink
9093,302,299,283.5,4.5854,3,8,1,4,dark purple
9094,200,74,27.333,5.5476,0,1,0,1,v.light purple
9095,390,371,36.0,4.49875,2,6,0,4,dark purple
9096,720,686,3.333,2.97598,3,0,0,4,dark purple
9097,262,253,48.667,4.05107,0,10,0,1,v.light purple
9098,92,83,44.0,3.78446,0,0,0,2,light purple
9099,200,184,1.333,3.8216,0,0,0,1,v.light purple
9100,225,198,7.333,2.93506,0,0,0,1,v.light purple
9101,207,196,36.0,3.22086,0,1,0,1,v.light purple
9102,250,227,120.0,3.55137,1,23,0,1,v.light purple
9103,120,113,62.5,3.72898,0,4,1,2,light purple
9104,120,103,45.333,3.86765,3,2,0,2,light purple
9105,80,61,8.667,4.66333,0,0,0,0,pink
9106,196,130,30.667,4.91973,0,1,0,1,v.light purple
9107,280,248,14.0,3.42195,0,0,0,4,dark purple
9108,220,149,244.333,4.3402,6,3,0,5,v.dark purple
9109,140,122,10.0,3.62873,0,2,0,2,light purple
9110,120,116,43.333,3.14691,1,3,0,2,light purple
9111,182,178,5.333,3.22926,0,0,0,1,v.light purple
9112,160,129,30.667,3.92444,0,4,0,1,v.light purple
9113,96,88,8.667,3.63927,0,0,0,2,light purple
9114,122,112,27.333,3.50526,0,0,0,2,light purple
9115,320,282,4.667,2.68332,0,0,0,4,dark purple
9116,160,152,48.0,4.17604,2,4,0,1,v.light purple
9117,200,196,38.0,3.56654,0,2,0,1,v.light purple
9118,159,148,17.333,3.38669,0,0,0,1,v.light purple
9119,120,114,36.333,3.05797,0,4,1,2,light purple
9120,120,80,20.667,4.06028,0,0,0,2,light purple
9121,82,66,40.667,3.17581,5,2,0,0,pink
9122,90,73,125.0,3.31628,1,38,1,5,v.dark purple
9123,120,118,2.667,3.01154,0,0,0,2,light purple
9124,200,196,16.667,1.5482,1,3,0,1,v.light purple
9125,200,170,72.0,4.42836,0,9,0,1,v.light purple
9126,272,266,67.333,3.49816,7,3,0,4,dark purple
9127,296,285,2.0,3.62759,0,0,0,4,dark purple
9128,180,172,36.0,3.70146,0,0,0,1,v.light purple
9129,106,92,49.333,3.74352,0,5,4,2,light purple
9130,40,37,28.0,3.3131,0,0,0,0,pink
9131,80,77,251.667,3.45272,0,23,2,5,v.dark purple
9132,40,37,9.333,4.25276,1,0,0,0,pink
9133,95,82,88.0,2.97699,1,4,0,2,light purple
9134,300,300,4.667,2.98463,2,1,0,4,dark purple
9135,232,168,158.0,3.68127,0,8,1,1,v.light purple
9136,90,82,25.333,3.87532,1,0,0,2,light purple
9137,200,193,40.0,4.34369,2,8,0,1,v.light purple
9138,160,146,52.0,4.90262,0,7,0,1,v.light purple
9139,90,82,23.333,3.07851,0,7,0,2,light purple
9140,60,50,0.0,3.90406,0,0,0,0,pink
9141,100,99,18.667,2.30794,0,0,0,2,light purple
9142,60,56,2.0,3.85318,0,0,0,0,pink
9143,80,78,36.667,3.81569,3,0,0,2,light purple
9144,80,72,5.333,4.56345,0,0,0,0,pink
9145,120,114,6.0,3.35968,0,0,0,2,light purple
9146,120,114,264.333,2.18305,1,27,0,5,v.dark purple
9147,200,198,8.0,3.21585,0,0,0,1,v.light purple
9148,82,62,97.333,2.85815,0,10,0,0,pink
9149,120,114,54.667,4.90725,3,10,0,2,light purple
9150,56,51,4.0,3.33366,0,1,0,0,pink
9151,74,74,37.333,3.88736,0,11,0,0,pink
9152,320,314,0.0,2.98512,1,0,0,4,dark purple
9153,298,295,36.0,3.10824,1,5,0,4,dark purple
9154,80,78,40.0,3.91979,0,0,0,2,light purple
9155,174,169,774.5,3.91123,4,14,0,3,purple
9156,95,61,196.333,4.73814,2,0,1,5,v.dark purple
9157,160,146,37.333,3.35196,0,6,0,1,v.light purple
9158,160,155,1005.17,4.32195,1,13,0,3,purple
9159,122,117,166.5,4.92625,2,2,0,5,v.dark purple
9160,118,88,10.667,3.21412,0,0,1,2,light purple
9161,146,131,16.0,3.93688,0,0,0,2,light purple
9162,100,80,77.333,3.51451,1,13,0,2,light purple
9163,60,49,9.333,5.26329,0,2,0,0,pink
9164,160,148,20.0,3.79384,0,0,0,1,v.light purple
9165,140,111,18.667,4.33833,0,0,0,2,light purple
9166,200,182,15.333,2.6877,0,4,0,1,v.light purple
9167,40,39,10.0,4.75396,0,1,1,0,pink
9168,160,149,34.0,3.86669,0,1,0,1,v.light purple
9169,140,87,41.333,3.88927,0,1,0,2,light purple
9170,295,288,14.0,4.08064,0,2,0,4,dark purple
9171,60,56,6.0,4.405,0,0,0,0,pink
9172,120,108,354.667,3.03262,3,7,0,3,purple
9173,199,195,22.667,3.77553,3,0,0,1,v.light purple
9174,66,59,10.667,4.18693,0,0,1,0,pink
9175,172,157,18.0,3.31942,0,4,0,1,v.light purple
9176,320,314,9.333,3.19424,0,0,0,4,dark purple
9177,230,216,5.333,4.55328,0,0,0,1,v.light purple
9178,205,203,1.333,2.97384,0,1,0,1,v.light purple
9179,280,265,36.0,2.93206,1,5,0,4,dark purple
9180,300,292,21.333,7.23754,2,3,0,4,dark purple
9181,679,525,7.333,3.73792,1,0,0,4,dark purple
9182,160,147,277.667,2.76791,3,16,0,5,v.dark purple
9183,192,184,10.667,4.45485,0,2,0,1,v.light purple
9184,240,232,13.333,1.97727,10,1,0,1,v.light purple
9185,160,142,10.0,4.16065,0,0,0,1,v.light purple
9186,200,185,24.0,3.62608,3,5,0,1,v.light purple
9187,40,39,12.0,4.12041,0,1,0,0,pink
9188,197,188,15.333,3.18972,0,0,0,1,v.light purple
9189,256,232,4.0,4.88092,0,0,0,1,v.light purple
9190,90,87,5.333,3.5485,0,0,1,2,light purple
9191,120,116,13.333,3.5772,2,0,0,2,light purple
9192,380,373,7.333,2.49935,0,1,0,4,dark purple
9193,200,189,22.0,3.41188,0,0,0,1,v.light purple
9194,120,112,122.167,3.87556,4,6,0,5,v.dark purple
9195,270,263,8.667,3.27918,0,0,0,4,dark purple
9196,80,74,46.667,4.1475,0,0,0,0,pink
9197,122,121,36.667,3.57164,1,0,0,2,light purple
9198,120,106,23.333,3.29655,0,0,0,2,light purple
9199,147,146,43.333,3.76103,2,8,0,1,v.light purple
9200,54,54,0.667,5.00502,0,0,0,0,pink
9201,240,224,10.667,3.13469,0,0,0,1,v.light purple
9202,200,180,61.0,4.18673,2,0,0,1,v.light purple
9203,230,218,0.0,3.65593,0,0,0,1,v.light purple
9204,108,103,2.667,4.1558,1,0,0,2,light purple
9205,225,211,8.667,4.56127,0,2,0,1,v.light purple
9206,100,92,78.333,3.52334,0,4,1,2,light purple
9207,120,117,46.833,3.72699,1,1,1,2,light purple
9208,192,190,18.667,5.14589,0,3,0,1,v.light purple
9209,240,235,9.333,2.39996,1,1,0,1,v.light purple
9210,252,243,12.667,2.8441,0,0,0,1,v.light purple
9211,160,152,27.333,3.98025,1,5,0,1,v.light purple
9212,82,76,140.167,5.50666,6,3,1,5,v.dark purple
9213,200,181,173.333,2.77092,1,1,0,1,v.light purple
9214,49,47,0.0,3.75652,0,0,0,0,pink
9215,240,235,2.0,4.01564,0,0,0,1,v.light purple
9216,420,415,2.667,2.86719,2,1,0,4,dark purple
9217,200,197,16.0,3.20618,0,0,0,1,v.light purple
9218,154,129,82.333,4.08881,1,2,0,1,v.light purple
9219,160,151,33.333,4.05933,1,0,0,1,v.light purple
9220,120,114,18.667,3.50378,1,0,0,2,light purple
9221,120,104,33.333,3.22727,2,7,0,2,light purple
9222,35,25,7.333,6.30434,0,0,0,0,pink
9223,72,70,18.0,4.69179,2,0,0,0,pink
9224,134,104,36.667,3.5523,5,1,0,2,light purple
9225,240,215,18.667,2.99672,1,0,0,1,v.light purple
9226,160,136,34.667,3.65968,0,1,0,1,v.light purple
9227,200,195,2.667,3.50272,0,0,0,1,v.light purple
9228,60,48,4.0,5.22605,0,0,0,0,pink
9229,200,191,14.667,3.10526,0,1,0,1,v.light purple
9230,120,110,6.0,4.75743,0,0,0,2,light purple
9231,40,39,36.0,4.78222,0,0,0,0,pink
9232,160,153,20.667,3.69096,0,1,0,1,v.light purple
9233,70,69,36.0,3.44942,0,3,0,0,pink
9234,420,450,33.333,3.56906,1,7,0,4,dark purple
9235,80,74,37.333,3.52915,0,0,0,0,pink
